timestamp,character,ilvl,boss,at_level,rested,first_time,red,blue,stones
2022-04-14-20:52:33,Jazzercist,1334,Armored Nacrasena,True,False,False,22,69,2
2022-04-15-09:45:28,Jazzercist,1340,Igrexion,True,False,True,54,171,7
2022-04-15-09:53:15,Jazzercist,1340,Igrexion,True,False,False,30,77,5
2022-04-15-11:31:46,Derplearning,1309,Armored Nacrasena,True,True,False,43,130,5
2022-04-15-11:39:16,Derplearning,1309,Armored Nacrasena,True,False,False,23,69,3
2022-04-15-22:22:45,Trif,1370,Night Fox Yoho,True,False,True,68,219,3
2022-04-15-22:35:42,Trif,1370,Night Fox Yoho,True,False,False,36,107,4
2022-04-16-00:08:19,Goberinsrayer,840,Dark Legoros,False,True,False,47,137,6
2022-04-16-00:20:26,Goberinsrayer,840,Helgaia,True,True,False,51,158,8
2022-04-16-10:40:51,Trif,1370,Night Fox Yoho,True,False,False,37,117,-14
2022-04-16-12:10:12,Jazzercist,1340,Igrexion,True,False,False,28,83,4
2022-04-16-12:56:42,Goberinsrayer,896,Calventus,True,True,False,104,326,15
2022-04-16-13:12:55,Goberinsrayer,896,Calventus,True,True,False,71,217,10
2022-04-17-12:22:18,Trif,1370,Night Fox Yoho,True,False,False,38,105,3
2022-04-17-13:56:27,Jazzercist,1342,Igrexion,True,False,False,29,83,4
2022-04-17-14:03:11,Jazzercist,1342,Igrexion,True,False,False,27,84,4
2022-04-17-14:57:56,Kekpuncher,1370,Frost Helgaia,False,True,False,99,306,14
2022-04-17-15:13:23,Kekpuncher,993,Frost Helgaia,True,True,False,101,311,14
2022-04-20-10:00:09,Goberinsrayer,960,Frost Helgaia,True,True,True,161,478,21
2022-04-20-18:37:17,Kimjongchil,833,Dark Legoros,True,True,False,48,134,6
2022-04-20-18:48:02,Kimjongchil,833,Dark Legoros,True,True,False,46,137,6
2022-04-21-19:33:00,Kekpuncher,1006,Lava Chromanium,True,True,True,165,510,24
2022-04-21-19:41:31,Kekpuncher,1006,Lava Chromanium,True,True,False,109,338,16
2022-04-22-11:07:25,Jazzercist,1350,Igrexion,True,False,False,27,83,8
2022-04-22-12:07:32,Kekpuncher,1006,Lava Chromanium,True,True,False,111,335,16
2022-04-22-22:21:38,Derplearning,1316,Armored Nacrasena,True,True,False,41,123,5
2022-04-22-22:34:20,Derplearning,1316,Armored Nacrasena,True,True,False,44,129,6
2022-04-23-09:24:42,Jazzercist,1357,Igrexion,True,False,False,30,85,4
2022-04-23-09:30:24,Jazzercist,1357,Igrexion,True,False,False,28,84,5
2022-04-23-11:55:48,Kimjongchil,1000,Lava Chromanium,True,False,False,54,163,8
2022-04-24-09:28:35,Kimjongchil,1066,Lavanos,True,False,True,120,361,18
2022-04-24-09:56:44,Kimjongchil,1090,Alberhastic,True,False,True,131,389,20
2022-04-25-09:20:28,Trif,1370,Night Fox Yoho,True,True,False,67,208,7
2022-04-25-09:29:01,Trif,1370,Night Fox Yoho,True,True,False,67,211,7
2022-04-25-10:00:36,Derplearning,1316,Armored Nacrasena,True,True,False,45,130,6
2022-04-25-10:07:07,Derplearning,1316,Armored Nacrasena,True,True,False,44,133,6
2022-04-25-14:45:55,Jazzercist,1357,Igrexion,True,True,False,56,166,9
2022-04-25-14:54:10,Jazzercist,1357,Igrexion,True,False,False,29,90,5
2022-04-26-09:51:01,Trif,1370,Night Fox Yoho,True,False,False,34,106,3
2022-04-26-10:00:27,Trif,1370,Igrexion,False,False,False,29,88,5
2022-04-26-16:32:54,Goberinsrayer,1040,Lavanos,True,True,True,179,542,27
2022-04-26-16:47:44,Goberinsrayer,1040,Lavanos,True,True,False,118,357,18
2022-04-27-07:54:49,Goberinsrayer,1060,Lavanos,True,True,False,122,355,18
2022-04-27-08:05:41,Goberinsrayer,1060,Lavanos,True,True,False,118,353,18
2022-04-27-09:45:51,Kekpuncher,1006,Lava Chromanium,True,True,False,109,335,16
2022-04-27-09:57:38,Kekpuncher,1006,Lava Chromanium,True,True,False,112,337,16
2022-04-27-17:32:56,Jazzercist,1360,Igrexion,True,True,False,56,165,9
2022-04-27-17:39:39,Jazzercist,1360,Igrexion,True,False,False,28,85,4
2022-04-29-10:38:12,Kimjongchil,1316,Armored Nacrasena,True,True,False,53,131,6
2022-04-29-12:17:10,Jazzercist,1366,Igrexion,True,True,False,54,165,10
2022-04-29-12:25:55,Jazzercist,1366,Igrexion,True,False,False,28,85,5
2022-04-30-09:12:20,Derplearning,1325,Armored Nacrasena,True,True,False,44,133,6
2022-04-30-09:18:58,Derplearning,1325,Armored Nacrasena,True,True,False,39,119,5
2022-05-01-13:59:26,Kimjongchil,1316,Armored Nacrasena,True,True,False,44,130,6
2022-05-01-14:18:54,Kimjongchil,1316,Armored Nacrasena,True,False,False,22,69,3
2022-05-02-10:06:26,Trif,1370,Night Fox Yoho,True,True,False,67,203,6
2022-05-02-10:14:13,Trif,1370,Night Fox Yoho,True,True,False,69,215,6
2022-05-02-10:55:12,Jazzercist,1367,Igrexion,True,True,False,56,169,9
2022-05-02-11:21:17,Jazzercist,1367,Igrexion,True,True,False,55,158,9
2022-05-02-13:07:50,Derplearning,1325,Armored Nacrasena,True,True,False,46,134,6
2022-05-02-13:19:52,Derplearning,1325,Armored Nacrasena,True,True,False,43,131,6
